Date,Open,High,Low,Close
09/01/2020,3507.44,3528.03,3494.6,3526.65
09/02/2020,3543.76,3588.11,3535.23,3580.84
09/03/2020,3564.74,3564.85,3427.41,3455.06
09/04/2020,3453.6,3479.15,3349.63,3426.96
09/08/2020,3371.88,3379.97,3329.27,3331.84
09/09/2020,3369.82,3424.77,3366.84,3398.96
09/10/2020,3412.56,3425.55,3329.25,3339.19
09/11/2020,3352.7,3368.95,3310.47,3340.97
09/14/2020,3363.56,3402.93,3363.56,3383.54
09/15/2020,3407.73,3419.48,3389.25,3401.2
09/16/2020,3411.23,3428.92,3384.45,3385.49
09/17/2020,3346.86,3375.17,3328.82,3357.01
09/18/2020,3357.38,3362.27,3292.4,3319.47
09/21/2020,3285.57,3285.57,3229.1,3281.06
09/22/2020,3295.75,3320.31,3270.95,3315.57
09/23/2020,3320.11,3323.35,3232.57,3236.92
09/24/2020,3226.14,3278.7,3209.45,3246.59
09/25/2020,3236.66,3306.88,3228.44,3298.46
09/28/2020,3333.9,3360.74,3332.91,3351.6
09/29/2020,3350.92,3357.92,3327.54,3335.47
09/30/2020,3341.21,3393.56,3340.47,3363
10/01/2020,3385.87,3397.18,3361.39,3380.8
10/02/2020,3338.94,3369.1,3323.69,3348.44
10/05/2020,3367.27,3409.57,3367.27,3408.63
10/06/2020,3408.74,3431.56,3354.54,3360.95
10/07/2020,3384.56,3426.26,3384.56,3419.45
10/08/2020,3434.28,3447.28,3428.15,3446.83
10/09/2020,3459.67,3482.34,3458.07,3477.13
10/12/2020,3500.02,3549.85,3499.61,3534.22
10/13/2020,3534.01,3534.01,3500.86,3511.93
10/14/2020,3515.47,3527.94,3480.55,3488.67
10/15/2020,3453.72,3489.08,3440.89,3483.34
10/16/2020,3493.5,3515.76,3480.45,3483.81
10/19/2020,3493.66,3502.42,3419.93,3426.92
10/20/2020,3439.38,3476.93,3435.65,3443.12
10/21/2020,3439.91,3464.86,3433.06,3435.56
10/22/2020,3438.5,3460.53,3415.34,3453.49
10/23/2020,3464.9,3466.46,3440.45,3465.39
10/26/2020,3441.42,3441.42,3364.86,3400.97
10/27/2020,3403.15,3409.51,3388.71,3390.68
10/28/2020,3342.48,3342.48,3268.89,3271.03
10/29/2020,3277.17,3341.05,3259.82,3310.11
10/30/2020,3293.59,3304.93,3233.94,3269.96
11/02/2020,3296.2,3330.14,3279.74,3310.24
11/03/2020,3336.25,3389.49,3336.25,3369.16
11/04/2020,3406.46,3486.25,3405.17,3443.44
11/05/2020,3485.74,3529.05,3485.74,3510.45
11/06/2020,3508.34,3521.58,3484.34,3509.44
11/09/2020,3583.04,3645.99,3547.48,3550.5
11/10/2020,3543.26,3557.22,3511.91,3545.53
11/11/2020,3563.22,3581.16,3557,3572.66
11/12/2020,3562.67,3569.02,3518.58,3537.01
11/13/2020,3552.57,3593.66,3552.57,3585.15
11/16/2020,3600.16,3628.51,3600.16,3626.91
11/17/2020,3610.31,3623.11,3588.68,3609.53
11/18/2020,3612.09,3619.09,3567.33,3567.79
11/19/2020,3559.41,3585.22,3543.84,3581.87
11/20/2020,3579.31,3581.23,3556.85,3557.54
11/23/2020,3566.82,3589.81,3552.77,3577.59
11/24/2020,3594.52,3642.31,3594.52,3635.41
11/25/2020,3635.5,3635.5,3617.76,3629.65
11/27/2020,3638.55,3644.31,3629.33,3638.35
11/30/2020,3634.18,3634.18,3594.39,3621.63
12/01/2020,3645.87,3678.45,3645.87,3662.45
12/02/2020,3653.78,3670.96,3644.84,3669.01
12/03/2020,3668.28,3682.73,3657.17,3666.72
12/04/2020,3670.94,3699.2,3670.94,3699.12
12/07/2020,3694.73,3697.41,3678.88,3691.96
12/08/2020,3683.05,3708.45,3678.83,3702.25
12/09/2020,3705.98,3712.39,3660.54,3672.82
12/10/2020,3659.13,3678.49,3645.18,3668.1
12/11/2020,3656.08,3665.91,3633.4,3663.46
12/14/2020,3675.27,3697.61,3645.84,3647.49
12/15/2020,3666.41,3695.29,3659.62,3694.62
12/16/2020,3696.25,3711.27,3688.57,3701.17
12/17/2020,3713.65,3725.12,3710.87,3722.48
12/18/2020,3722.39,3726.7,3685.84,3709.41
12/21/2020,3684.28,3702.9,3636.48,3694.92
12/22/2020,3698.08,3698.26,3676.16,3687.26
12/23/2020,3693.42,3711.24,3689.28,3690.01
12/24/2020,3694.03,3703.82,3689.32,3703.06
12/28/2020,3723.03,3740.51,3723.03,3735.36
12/29/2020,3750.01,3756.12,3723.31,3727.04
12/30/2020,3736.19,3744.63,3730.21,3732.04
12/31/2020,3733.27,3760.2,3726.88,3756.07
01/04/2021,3764.61,3769.99,3662.71,3700.65
01/05/2021,3698.02,3737.83,3695.07,3726.86
01/06/2021,3712.2,3783.04,3705.34,3748.14
01/07/2021,3764.71,3811.55,3764.71,3803.79
01/08/2021,3815.05,3826.69,3783.6,3824.68
01/11/2021,3803.14,3817.86,3789.02,3799.61
01/12/2021,3801.62,3810.78,3776.51,3801.19
01/13/2021,3802.23,3820.96,3791.5,3809.84
01/14/2021,3814.98,3823.6,3792.86,3795.54
01/15/2021,3788.73,3788.73,3749.62,3768.25
01/19/2021,3781.88,3804.53,3780.37,3798.91
01/20/2021,3816.22,3859.75,3816.22,3851.85
01/21/2021,3857.46,3861.45,3845.05,3853.07
01/22/2021,3844.24,3852.31,3830.41,3841.47
01/25/2021,3851.68,3859.23,3797.16,3855.36
01/26/2021,3862.96,3870.9,3847.78,3849.62
01/27/2021,3836.83,3836.83,3732.48,3750.77
01/28/2021,3755.75,3830.5,3755.75,3787.38
01/29/2021,3778.05,3778.05,3694.12,3714.24
02/01/2021,3731.17,3784.32,3725.62,3773.86
02/02/2021,3791.84,3843.09,3791.84,3826.31
02/03/2021,3840.27,3847.51,3816.68,3830.17
02/04/2021,3836.66,3872.42,3836.66,3871.74
02/05/2021,3878.3,3894.56,3874.93,3886.83
02/08/2021,3892.59,3915.77,3892.59,3915.59
02/09/2021,3910.49,3918.35,3902.64,3911.23
02/10/2021,3920.78,3931.5,3884.94,3909.88
02/11/2021,3916.4,3925.99,3890.39,3916.38
02/12/2021,3911.65,3937.23,3905.78,3934.83
02/16/2021,3939.61,3950.43,3923.85,3932.59
02/17/2021,3918.5,3933.61,3900.43,3931.33
02/18/2021,3915.86,3921.98,3885.03,3913.97
02/19/2021,3921.16,3930.41,3903.07,3906.71
02/22/2021,3885.55,3902.92,3874.71,3876.5
02/23/2021,3857.07,3895.98,3805.59,3881.37
02/24/2021,3873.71,3928.65,3859.6,3925.43
02/25/2021,3915.8,3925.02,3814.04,3829.34
02/26/2021,3839.66,3861.08,3789.54,3811.15
03/01/2021,3842.51,3914.5,3842.51,3901.82
03/02/2021,3903.64,3906.41,3868.57,3870.29
03/03/2021,3863.99,3874.47,3818.86,3819.72
03/04/2021,3818.53,3843.67,3723.34,3768.47
03/05/2021,3793.58,3851.69,3730.19,3841.94
03/08/2021,3844.39,3881.06,3819.25,3821.35
03/09/2021,3851.93,3903.76,3851.93,3875.44
03/10/2021,3891.99,3917.35,3885.73,3898.81
03/11/2021,3915.54,3960.27,3915.54,3939.34
03/12/2021,3924.52,3944.99,3915.21,3943.34
03/15/2021,3942.96,3970.08,3923.54,3968.94
03/16/2021,3973.59,3981.04,3953.44,3962.71
03/17/2021,3949.57,3983.87,3935.74,3974.12
03/18/2021,3953.5,3969.62,3910.86,3915.46
03/19/2021,3913.14,3930.12,3886.75,3913.1
03/22/2021,3916.48,3955.31,3914.16,3940.59
03/23/2021,3937.6,3949.13,3901.57,3910.52
03/24/2021,3919.93,3942.08,3889.07,3889.14
03/25/2021,3879.34,3919.54,3853.5,3909.52
03/26/2021,3917.12,3978.19,3917.12,3974.54
03/29/2021,3969.31,3981.83,3943.25,3971.09
03/30/2021,3963.34,3968.01,3944.35,3958.55
03/31/2021,3967.25,3994.41,3966.98,3972.89
04/01/2021,3992.78,4020.63,3992.78,4019.87
04/05/2021,4034.44,4083.42,4034.44,4077.91
04/06/2021,4075.57,4086.23,4068.14,4073.94
04/07/2021,4074.29,4083.13,4068.31,4079.95
04/08/2021,4089.95,4098.19,4082.54,4097.17
04/09/2021,4096.11,4129.48,4095.51,4128.8
04/12/2021,4124.71,4131.76,4114.82,4127.99
04/13/2021,4130.1,4148,4124.43,4141.59
04/14/2021,4141.58,4151.69,4120.87,4124.66
04/15/2021,4139.76,4173.49,4139.76,4170.42
04/16/2021,4174.14,4191.31,4170.75,4185.47
04/19/2021,4179.8,4180.81,4150.47,4163.26
04/20/2021,4159.18,4159.18,4118.38,4134.94
04/21/2021,4128.42,4175.02,4126.35,4173.42
04/22/2021,4170.46,4179.57,4123.69,4134.98
04/23/2021,4138.78,4194.17,4138.78,4180.17
04/26/2021,4185.03,4194.19,4182.36,4187.62
04/27/2021,4188.25,4193.35,4176.22,4186.72
04/28/2021,4185.14,4201.53,4181.78,4183.18
04/29/2021,4206.14,4218.78,4176.81,4211.47
